eligible_queries,mean_qa_f1,hit_rate_at_k,top1_rate,spearman_ndcg_vs_qa_f1,spearman_mrr_vs_qa_f1,mean_qa_f1_hit,mean_qa_f1_miss,qa_f1_lift_hit_vs_miss,mean_qa_f1_top1,mean_qa_f1_non_top1,qa_f1_lift_top1_vs_non_top1,qa_positive_rate_hit,qa_positive_rate_miss,qa_positive_lift_hit_vs_miss,qa_positive_rate_top1,qa_positive_rate_non_top1,qa_positive_lift_top1_vs_non_top1,qa_strong_rate_hit,qa_strong_rate_miss,qa_strong_lift_hit_vs_miss,qa_strong_rate_top1,qa_strong_rate_non_top1,qa_strong_lift_top1_vs_non_top1,dataset,run_id,system_label,parser_max_facts,target_mode,target_prefix,target_label
1533,0.1293552660089548,0.8127853881278538,0.1141552511415525,0.17218934873103697,0.13560971022455284,0.1449850859803268,0.061498974425925085,0.08348611155440172,0.15772867971918794,0.12569889826279074,0.032029781456397205,0.44141252006420545,0.24390243902439024,0.1975100810398152,0.49714285714285716,0.39248895434462444,0.10465390279823272,0.09951845906902086,0.03832752613240418,0.061190932936616683,0.10285714285714286,0.0861561119293078,0.01670103092783505,LoCoMo,20260313T080007Z_ollama_full_warm_facts1,ollama / all-minilm,1,source_family,source,Source
453,0.12374917361409198,0.9139072847682119,0.3818984547461369,0.2298869757944028,0.22062357128113508,0.12777309010983567,0.0810337523515818,0.04673933775825387,0.1587814197544772,0.10210425010592539,0.05667716964855182,0.42028985507246375,0.23076923076923078,0.18952062430323297,0.49710982658959535,0.3464285714285714,0.15068125516102393,0.07729468599033816,0.05128205128205128,0.02601263470828688,0.10404624277456648,0.05714285714285714,0.046903385631709336,LoCoMo,20260313T080007Z_ollama_full_warm_facts1,ollama / all-minilm,1,canonical,canonical,Canonical
1533,0.13088669119710594,0.7123287671232876,0.01304631441617743,0.2936457100182449,0.28423455835623496,0.16165683973284922,0.054693942441932125,0.1069628972909171,0.20469298245614037,0.12991106276010614,0.07478191969603423,0.45787545787545786,0.24489795918367346,0.2129774986917844,0.35,0.3972240581625909,-0.0472240581625909,0.1163003663003663,0.02947845804988662,0.08682190825047968,0.2,0.0898876404494382,0.11011235955056181,LoCoMo,20260313T053200Z_ollama_full_warm,ollama / all-minilm,5,raw_turn,raw,Raw
1533,0.13088669119710594,0.8180039138943248,0.14220482713633398,0.2019960757574354,0.17101741483141206,0.1461977516970151,0.06206923647708423,0.08412851521993087,0.18554779561693638,0.12182500240355232,0.06372279321338406,0.4298245614035088,0.24731182795698925,0.18251273344651953,0.5,0.379467680608365,0.120532319391635,0.10287081339712918,0.03942652329749104,0.06344429009963815,0.14678899082568808,0.08212927756653993,0.06465971325914815,LoCoMo,20260313T053200Z_ollama_full_warm,ollama / all-minilm,5,source_family,source,Source
899,0.13087834639792337,0.8120133481646273,0.22024471635150167,0.13271299899004624,0.11322683173648032,0.14115931249365796,0.08646943959386273,0.054689872899795225,0.18361393836045112,0.11598298661392838,0.06763095174652274,0.4191780821917808,0.28994082840236685,0.12923725378941398,0.5151515151515151,0.3609129814550642,0.15423853369645096,0.10273972602739725,0.04142011834319527,0.061319607684201985,0.1414141414141414,0.07703281027104136,0.06438133114310005,LoCoMo,20260313T053200Z_ollama_full_warm,ollama / all-minilm,5,canonical,canonical,Canonical
1533,0.13017053351390934,0.7110241356816699,0.014350945857795172,0.30075927729159607,0.29088849535256317,0.16157988106627078,0.05288794021351657,0.10869194085275422,0.24088250930356195,0.12855857886971847,0.11232393043384348,0.463302752293578,0.24153498871331827,0.2217677635802597,0.4090909090909091,0.3990734612839179,0.010017447806991209,0.11559633027522936,0.024830699774266364,0.09076563050096301,0.2727272727272727,0.08669755129053607,0.18602972143673663,LoCoMo,20260313T085204Z_ollama_full_warm_facts8,ollama / all-minilm,8,raw_turn,raw,Raw
1533,0.13017053351390934,0.8199608610567515,0.14677103718199608,0.20969867366820003,0.1783407609876412,0.14564522750633618,0.059693394570139044,0.08595183293619714,0.18765658999248125,0.12028187700956781,0.06737471298291343,0.4343675417661098,0.2391304347826087,0.1952371069835011,0.5066666666666667,0.38073394495412843,0.12593272171253828,0.10182975338106603,0.03260869565217391,0.06922105772889212,0.1511111111111111,0.07874617737003058,0.07236493374108054,LoCoMo,20260313T085204Z_ollama_full_warm_facts8,ollama / all-minilm,8,source_family,source,Source
942,0.12971120444803252,0.807855626326964,0.21549893842887474,0.1337495699983604,0.11984018281724958,0.13860010800692274,0.09233852152916262,0.04626158647776012,0.18188826376172373,0.1153783992509022,0.06650986451082154,0.4204993429697766,0.292817679558011,0.12768166341176557,0.5172413793103449,0.36265223274695535,0.1545891465633895,0.1011826544021025,0.049723756906077346,0.051458897496025155,0.13793103448275862,0.07848443843031123,0.059446596052447384,LoCoMo,20260313T085204Z_ollama_full_warm_facts8,ollama / all-minilm,8,canonical,canonical,Canonical
1510,0.13103671086540897,0.747682119205298,0.03377483443708609,0.2790592509814743,0.2748198876843476,0.15456647818115177,0.06131201979067497,0.0932544583904768,0.3528691030466663,0.12328246000780504,0.22958664303886125,0.4508414526129318,0.25984251968503935,0.19099893292789244,0.6274509803921569,0.3947909527073338,0.23266002768482308,0.10806023029229407,0.03412073490813648,0.07393949538415759,0.39215686274509803,0.0788211103495545,0.31333575239554357,LoCoMo,20260314T044224Z_locomo_ollama_bge_m3_full,ollama / bge-m3,5,raw_turn,raw,Raw
1510,0.13103671086540897,0.8364238410596027,0.14437086092715232,0.2038039829243074,0.17650841788011243,0.14199102319497509,0.0750233648239433,0.06696765837103179,0.2015537543523332,0.11913832427086601,0.08241543008146718,0.4267616785431512,0.2793522267206478,0.14740945182250342,0.5091743119266054,0.3846749226006192,0.12449938932598625,0.09738717339667459,0.048582995951417005,0.048804177445257585,0.1651376146788991,0.07662538699690402,0.08851222768199507,LoCoMo,20260314T044224Z_locomo_ollama_bge_m3_full,ollama / bge-m3,5,source_family,source,Source
