shared_eligible_queries,both_positive_count,both_positive_mean_qa_f1,both_positive_qa_positive_rate,both_positive_qa_strong_rate,lhs_only_count,lhs_only_mean_qa_f1,lhs_only_qa_positive_rate,lhs_only_qa_strong_rate,rhs_only_count,rhs_only_mean_qa_f1,rhs_only_qa_positive_rate,rhs_only_qa_strong_rate,both_negative_count,both_negative_mean_qa_f1,both_negative_qa_positive_rate,both_negative_qa_strong_rate,rhs_minus_lhs_mean_qa_f1,rhs_minus_lhs_qa_positive_rate,rhs_minus_lhs_qa_strong_rate,dataset,run_id,system_label,parser_max_facts,lhs_mode,rhs_mode,lhs_label,rhs_label,metric_key,metric_label
1533,20,0.20469298245614037,0.35,0.2,0,,,,198,0.18361393836045112,0.5151515151515151,0.1414141414141414,1315,0.12182500240355232,0.379467680608365,0.08212927756653993,,,,LoCoMo,20260313T053200Z_ollama_full_warm,ollama / all-minilm,5,raw_turn,source_family,Raw,Source,top1,Top1
899,568,0.16944293394469145,0.47007042253521125,0.12852112676056338,64,0.13891340602229726,0.390625,0.0625,162,0.041992047159170154,0.24074074074074073,0.012345679012345678,105,0.05450359338986454,0.22857142857142856,0.02857142857142857,-0.09692135886312711,-0.14988425925925927,-0.05015432098765432,LoCoMo,20260313T053200Z_ollama_full_warm,ollama / all-minilm,5,raw_turn,canonical,Raw,Canonical,hit_at_k,Hit@K
899,0,,,,19,0.171606648199446,0.3157894736842105,0.15789473684210525,198,0.18361393836045112,0.5151515151515151,0.1414141414141414,682,0.11443335381315882,0.3621700879765396,0.0747800586510264,0.01200729016100513,0.19936204146730463,-0.016480595427963846,LoCoMo,20260313T053200Z_ollama_full_warm,ollama / all-minilm,5,raw_turn,canonical,Raw,Canonical,top1,Top1
899,730,0.14115931249365796,0.4191780821917808,0.10273972602739725,64,0.13891340602229726,0.390625,0.0625,0,,,,105,0.05450359338986454,0.22857142857142856,0.02857142857142857,,,,LoCoMo,20260313T053200Z_ollama_full_warm,ollama / all-minilm,5,source_family,canonical,Source,Canonical,hit_at_k,Hit@K
899,198,0.18361393836045112,0.5151515151515151,0.1414141414141414,19,0.171606648199446,0.3157894736842105,0.15789473684210525,0,,,,682,0.11443335381315882,0.3621700879765396,0.0747800586510264,,,,LoCoMo,20260313T053200Z_ollama_full_warm,ollama / all-minilm,5,source_family,canonical,Source,Canonical,top1,Top1
1533,1090,0.16157988106627078,0.463302752293578,0.11559633027522936,0,,,,167,0.04164060247442791,0.24550898203592814,0.011976047904191617,276,0.059693394570139044,0.2391304347826087,0.03260869565217391,,,,LoCoMo,20260313T085204Z_ollama_full_warm_facts8,ollama / all-minilm,8,raw_turn,source_family,Raw,Source,hit_at_k,Hit@K
1533,22,0.24088250930356195,0.4090909090909091,0.2727272727272727,0,,,,203,0.18188826376172373,0.5172413793103449,0.13793103448275862,1308,0.12028187700956781,0.38073394495412843,0.07874617737003058,,,,LoCoMo,20260313T085204Z_ollama_full_warm_facts8,ollama / all-minilm,8,raw_turn,source_family,Raw,Source,top1,Top1
942,594,0.1658597669697622,0.4696969696969697,0.12626262626262627,74,0.1571222611823635,0.4189189189189189,0.0945945945945946,167,0.04164060247442791,0.24550898203592814,0.011976047904191617,107,0.04753481373162186,0.205607476635514,0.018691588785046728,-0.11548165870793559,-0.17340993688299078,-0.08261854669040299,LoCoMo,20260313T085204Z_ollama_full_warm_facts8,ollama / all-minilm,8,raw_turn,canonical,Raw,Canonical,hit_at_k,Hit@K
942,0,,,,21,0.21267056530214423,0.38095238095238093,0.23809523809523808,203,0.18188826376172373,0.5172413793103449,0.13793103448275862,718,0.11253280665051768,0.362116991643454,0.07381615598885793,-0.030782301540420498,0.13628899835796393,-0.10016420361247946,LoCoMo,20260313T085204Z_ollama_full_warm_facts8,ollama / all-minilm,8,raw_turn,canonical,Raw,Canonical,top1,Top1
942,761,0.13860010800692274,0.4204993429697766,0.1011826544021025,74,0.1571222611823635,0.4189189189189189,0.0945945945945946,0,,,,107,0.04753481373162186,0.205607476635514,0.018691588785046728,,,,LoCoMo,20260313T085204Z_ollama_full_warm_facts8,ollama / all-minilm,8,source_family,canonical,Source,Canonical,hit_at_k,Hit@K
